,mutations
HN,128
GH,127
AS,125
DT,122
O8,122
YA,121
T1,120
UE,120
4X,120
DO,120
IK,118
AW,117
VG,117
2E,116
3Z,116
IF,116
RN,114
3R,113
CE,111
NG,108
OE,107
3E,106
V9,106
ZX,103
E3,102
EF,100
81,99
Q2,98
SP,93
RB,93
5T,93
X2,93
RA,92
5S,92
YY,91
SN,91
WZ,90
Y6,89
AT,89
YS,88
FK,87
H9,87
3S,85
P8,85
X4,85
TP,84
XN,84
JU,84
QN,83
WR,82
5B,81
MR,79
YJ,78
H5,76
KT,76
YH,76
KJ,76
2K,75
4C,73
87,72
PZ,71
F6,70
MK,69
MO,68
QM,67
4K,66
XT,66
PD,66
PR,61
MW,61
ZA,60
WD,60
W6,59
N1,58
ZD,57
VV,57
JL,56
K6,55
M8,55
WH,55
YR,54
TK,53
OX,53
5X,52
6D,51
UP,51
YB,50
T7,48
TT,44
OK,44
ZL,41
X3,40
SB,40
EZ,39
ZT,39
W8,39
OU,39
S6,38
WW,38
KH,38
4H,37
UN,37
RT,35
W9,35
V7,35
2X,35
4L,35
5K,35
SQ,33
O9,32
H8,32
P7,31
SA,30
Q3,30
SO,29
SU,29
XA,29
V3,29
MG,27
FN,26
5V,26
5G,24
RM,22
XH,20
08,19
RZ,18
GE,14
3Q,14
QD,12
RX,12
XG,12
PA,11
3T,10
W4,9
Z5,9
