Tumor_Sample_Barcode,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99
TCGA-BR-A4J4-01A-12D-A25D-08,25.037924208489642,0.01248191815766364,0.0,0.0,0.0,6.740693043274,0.0,9.546973439268967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940917403858265,0.0,0.0,5.892040334687886,0.0,0.0,0.0,0.0,13.586033225851224,0.0,0.0,0.5566602952563172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.642736515503235,0.0,0.0,0.0,2.5882308790377335,1.6041831379151645,0.0,0.0,0.0,1.0103628259027442,45.17442760601277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-BR-A4J5-01A-21D-A25D-08,34.54266748750186,0.0,0.0,0.0,0.0,10.826129477516758,0.0,0.0,0.3838824869052962,0.1707106270182075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.266010417748415,0.0,4.050732122720894,8.605921718264732,5.547384189149695,0.4357006424138494,0.0,2.0360676220422853,0.0,0.0,2.355738012123396,0.38986896520918946,0.0,0.0,0.0,0.0,1.9142965223528825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.446804923380396,0.0,0.0,0.0,0.0,0.10111794536276927,0.0,6.729612210855274,2.8135580137148066,4.5394089582008466,0.0,4.642156470971732,0.0,0.0,0.0,0.0,2.847172109765892,0.0,0.10911395939627688,0.0,0.609573277621658,19.317362277516803,0.0,0.0,1.5678721292356381,0.0,0.0,0.0,0.0,0.0,0.0,0.5279319837501166,0.0,0.0
TCGA-BR-A4J6-01A-11D-A25D-08,3.622918854396013,0.0,0.0,0.0,0.0,0.0,4.32556214906879,0.0,0.0,0.0,0.8292326647924608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5372437415702276,3.332538330581889,0.0,0.0,0.0,0.0,0.0,2.211129416052172,0.0,0.0,0.8430956018792239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.130041103394445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9431775130752591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.502987198756842,4.58363587842839,2.1847560558547547,0.0,0.0,0.0,0.0,3.9052417385755396,0.0,0.0,0.0,1.409750906557037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7478834538288153,1.1212917464275354,0.0,0.0
TCGA-BR-A4J7-01A-31D-A25D-08,17.310594265733428,0.0,0.0,0.0,0.0,2.1148046786781958,0.0,3.802620768612975,0.0,0.0,0.0,0.0,0.0,2.817586254474092,0.0,0.0,0.0,0.0,0.0,0.0,25.98492304704514,0.0,0.6581981765792982,0.9988037174375288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5032763322114825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8285968128736949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.696262057837126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1055735304687855,1.0128590079412672,0.0,0.0,0.0,0.0,10.184936434790451,1.7981602998915323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-BR-A4J8-01A-11D-A25D-08,42.288189602662136,8.415867785811296,0.0,0.0,0.0,0.0,0.024965688425204746,0.0,0.0,6.056279933330988,0.0,0.0,0.0,9.106004592338032,0.0,0.0,0.0,0.0,0.0,0.0,16.868435154397414,0.0,0.0,4.660383927837881,0.0,0.0,0.0,3.0844138326880435,6.248752625965469,0.0,0.0,0.0,0.0,4.683239899501543,0.0,0.0,7.125651971877993,0.0,4.040150635431619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.174859636251808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4383675300226047,0.0,0.0,0.0,0.1713899648354824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2754367769803945,0.0,0.0
TCGA-BR-A4J9-01A-12D-A25D-08,10.40957004991782,1.572719181320242,0.0,0.0,0.0,8.70491058840857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7452521702554447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7411971573169092,3.0650328168667413,1.211337747996309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2677674360240965,0.0,0.0,0.0,0.0,0.0,2.570827379234521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8206240960516387,0.8103680623044975,0.0,0.0,0.0,3.3591619885681308,0.14184349207086724,1.1246443678724876,0.0,0.0,0.08105511534231433,13.355976822375855,0.5686442654515316,0.0,0.0,0.0,0.0,0.0,1.8801981160395065,0.0,0.0,0.0,0.0,0.0
TCGA-BR-A4PD-01A-11D-A25D-08,14.286415622158383,7.324130229199199,0.0,0.0,0.0,0.0,0.0,0.3904642646887091,5.881323500205812,0.21540698312591455,0.29511891000877566,0.0,0.0,5.2550546037982055,0.0,0.0,12.034983622200992,3.675433954967031,3.1730857058880777,0.0,6.79019622757876,0.0,33.83834865451093,43.95167651387112,0.0,0.0,0.0,7.071328489457262,0.0,0.0,0.0,19.34690255608665,0.0,0.5698154604620633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.234238842666416,0.0,0.15664666239973693,2.4198385779087426,0.0,0.0,0.0,1.3927154996406332,1.664797975685804,0.0,0.0,2.068825131031311,0.0,0.0,0.0,1.4153352610808287,3.4887185065656983,0.0,0.0,0.0,0.0,3.208108888467244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.063785391715072,0.0,0.0
TCGA-BR-A4PE-01A-31D-A25D-08,71.01070797448281,6.157265878910272,0.0,0.0,0.0,0.0,0.9721702109896375,12.851757069627588,0.0,0.0,0.0,0.0,1.1153080062126508,0.0,0.0,0.0,0.0,0.0,3.844754121756439,0.0,41.03667296437244,0.0,9.511037887829787,19.92036915712922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.72593207013771,0.4746440727775936,0.0,0.0,0.0,14.368540777152798,0.0,21.260573095009995,2.463933136427146,0.06741126585249113,0.0,0.0,0.0,0.0,0.0,2.3509421937553374,0.0,0.0,0.0,0.0,0.0,2.9244728448856847,0.0,0.0,0.0,0.0,1.6793872880967258,0.0,0.0,0.0,0.0,0.0,1.683293645152443,0.0,0.0,0.0,0.0,2.0344342988071102,0.0,0.0,0.0,0.0,8.434595527639484,0.0,4.647150419470275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.058966102508373,1.8412072895663825,0.0
TCGA-BR-A4PF-01A-11D-A25D-08,12.482998806252454,0.0,0.0,0.0,0.0,14.788550378022897,5.349827465857451,0.0,3.6689768644584464,0.0,0.0,0.0,1.4695002703937057,0.0,0.0,0.0,0.0,0.0,2.3866481471304257,0.0,20.41249337910981,3.5914190219372584,3.957707888901606,1.1692281074990316,18.138593579709813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4169940954657545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.245902612216118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.993925429932397,17.46407370921876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.854621837264564,7.567596043327116,0.0,0.0
TCGA-BR-A4QI-01A-12D-A25D-08,29.416146135628626,1.4575076989949491,0.0,0.0,0.0,0.0,17.3573145348292,0.0,6.359991256125182,0.0,0.0,0.0,0.0,6.030529939673809,0.0,0.0,0.0,0.0,1.473505918015116,0.0,24.681445945319425,0.0,14.203288589406835,8.13142124739572,11.522575369752653,0.0,0.0,0.0,6.293135628428388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0946438026827277,0.0,0.0,4.490566602961301,4.859970868403385,0.0,0.0,0.0,0.0,1.4536934800822439,12.87285804862747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9660416639413903,0.0,0.0,0.0,0.0,0.09856882383718674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9955509111973182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3701175937799926,0.0,0.0
