,A_global
3'Flank,0.006066312772537011
3'UTR,0.07998161158647546
5'Flank,0.004642364437589219
5'UTR,0.02302989049043017
Intron,0.02990291503390364
Missense_Mutation,0.5574209717548821
Nonsense_Mutation,0.04402258970452961
Nonstop_Mutation,0.0005870625263745495
RNA,0.014355742141549072
Silent,0.22596671182418476
Splice_Site,0.013240633956530749
Translation_Start_Site,0.0007831937710136657
