,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS1,0.00019447163104267646,0.00016202458893835016,0.0015994657751273798,0.00032472083282708233,0.008866447195849742,0.6807377569919315,0.016103343795324375,3.864814782260015e-05,0.008733180793016083,0.28265007422833993,0.0005154757180675882,7.439030171287213e-05
SBS2,0.0017257250681349766,0.0041641922080040165,0.007761752455132824,0.08304110494935191,0.07635446363254662,0.395312256752634,0.07793362080114014,0.00026480495100973574,0.0049778337288371366,0.33621458593883186,0.009049750235344597,0.0031999092790321424
SBS3,0.035046186163688396,0.04247345253059791,0.06748662180696005,0.03787528484699398,0.08301272094083545,0.3406884812425436,0.04211089149131238,0.032705326939191814,0.08442702896733126,0.10598574310620816,0.083365769509836,0.044822492454501
SBS4,4.1483537082706884e-05,6.783721700247245e-05,0.0014357268984424537,0.0013460308811670172,0.016642777392501733,0.8125369458876045,0.0383760301043587,0.00013095360739900837,0.01645443867426059,0.08124902110011208,0.0312756310584681,0.00044312364160076716
SBS5,0.037127206108384,0.04375931137016188,0.06326167135786354,0.036269291259605506,0.07989563387121364,0.3539657049575982,0.04098580236986035,0.030673584676618064,0.08457304103109065,0.10271227884116242,0.08352813206492089,0.04324834209152084
SBS6,0.00013167589996801988,0.00030682908824697716,0.0021962882054625565,0.020794604339481316,0.021011771453404025,0.5982107476410581,0.05167212944170323,0.00010837139581779358,0.006320615367203549,0.2906894684228148,0.008111645863868238,0.0004458528809715352
SBS7a,0.0011967427950244538,0.015193726926157848,0.0018395912090250874,0.00830537903575727,0.017648745490867434,0.5730251004462777,0.025275358314884512,0.00013530738114081236,0.015461650407495928,0.3382289993436112,0.002245195841506633,0.0014442028082511614
SBS7b,0.0036969727670831697,0.0359789623519113,0.0061296603878089285,0.027760291680747333,0.03093104813097669,0.5441962245813506,0.040165806750573955,9.335365413754181e-05,0.011503462948721416,0.28547878218279915,0.013406968497378343,0.0006584660665115028
SBS7c,0.04038019211686574,0.04789888930437033,0.06172351337290109,0.03895963332105976,0.08297486101644165,0.33273716040881024,0.043820326385347094,0.030545080089545356,0.08708037049749506,0.10543345624159951,0.08577227885420707,0.04267423839135719
SBS7d,0.04182304936251099,0.04496975624216819,0.05856914935873259,0.035933875498302355,0.07408964786002943,0.34340420817015455,0.04208875749806175,0.03195944500635927,0.09134212102898462,0.10199527879681583,0.09169752955354067,0.04212718162433979
SBS8,0.0345921404994434,0.04278992447065527,0.07435982871260444,0.04118254650684957,0.08096788389906487,0.2920548606753678,0.04758551850574366,0.03508641362419682,0.09636936516893198,0.11473984429347266,0.0869196597491946,0.053352013894474797
SBS9,0.04011657394287157,0.04703577854011623,0.06468578651199217,0.03745588139338359,0.08200785860564071,0.3365071250722424,0.04235142469617771,0.031761482271908274,0.08391616389520952,0.10481079557818516,0.08733915748556562,0.04201197200670722
SBS10a,0.014823740899298447,0.24413216230089493,0.0039117056322154784,0.0041295997260585035,0.030179370898276957,0.47882980971719746,0.10215388280949271,0.0013867594447674496,0.022868601274117377,0.08158004575040877,0.0156743516149157,0.0003299699323560805
SBS10b,0.00048732413236662214,0.01545903941961249,0.0031155955501903795,0.021249809735485993,0.03067232484958442,0.6241205471387541,0.07104557933902572,0.00020577183214114887,0.010231379271556297,0.21421219842214181,0.008993145885586291,0.00020728442355480792
SBS10c,0.03980552426934825,0.047477344371561606,0.06289429428675597,0.03748981386600205,0.082049186452423,0.32921936262735874,0.04371438411942691,0.033151752634411266,0.08784896432682157,0.10854843705809811,0.08519061624795148,0.04261031973984114
