,A_shared
3'Flank,0.004782068371851688
3'UTR,0.06304942548114838
5'Flank,0.003659571304682347
5'UTR,0.018154439945805182
Intron,0.02357243841055617
Missense_Mutation,0.43941440192524983
Nonsense_Mutation,0.03470296401894771
Nonstop_Mutation,0.00046278081017919563
RNA,0.01131661736274931
Silent,0.17812933592836208
Splice_Site,0.010437578680980362
Translation_Start_Site,0.0006173908767696752
