,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS1,0.0008995049665828957,0.0,0.00308893009426157,0.005763584108003591,0.013101046010936895,0.6306051781075606,0.023179406371411162,0.0,0.00778749021479012,0.3149960117206365,0.0005788484058167081,0.0
SBS2,0.0,0.004072280798272942,0.006702638930992202,0.09705873407452857,0.07605619809391627,0.42311194579683237,0.08512848444485241,0.0,0.003430902215288235,0.289513122453404,0.010696765219869512,0.004228927972043786
SBS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS4,0.0,0.0,0.0,0.0,0.00021166574071673915,0.8452360497449154,0.03751512251592351,0.00045760906327174227,0.0,0.0830955178933422,0.0334840350418304,0.0
SBS5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS6,0.0,0.0,0.0017100208838902197,0.014921648628126604,0.019434163262987796,0.6174472968149755,0.04919742045624324,0.0002599840731906651,0.0029587099443029825,0.28443664098536525,0.009249307270077892,0.00038480768083974713
SBS7a,0.0009904234999712348,0.02050707351063711,0.0003488671359029053,0.011723603559203032,0.018957542247828814,0.5607602822300657,0.016264430372785302,0.00023631329198297714,0.0142886619352067,0.3525091063299634,0.0018330242123599668,0.0015806716740928784
SBS7b,0.0035445638690748513,0.03500845391417488,0.006481287419094809,0.026866364326064793,0.03261082329985183,0.5404881927064303,0.04273795957748073,0.0,0.01207430667938494,0.28805846865919116,0.011588476721321066,0.0005411028279307533
SBS7c,0.0,0.0,0.003160133575780237,0.0,0.0,0.0,0.4628867961121981,0.0,0.0,0.0,0.5339530703120217,0.0
SBS7d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4025767657499556,0.5974232342500444
SBS8,0.0,0.0,0.0,0.0,0.0,0.0,0.25526390012569367,0.0,0.5115068253686903,0.0,0.17688203155076843,0.056347242954847686
SBS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS10a,0.018176243594793674,0.2728867665706452,0.004622246390978781,0.0,0.03309603987135367,0.44308038812924033,0.10180935113671924,0.001202826277277942,0.026929847578994297,0.08113094563033806,0.01706534481965906,0.0
SBS10b,0.0,0.015652683630380134,0.002171902669686117,0.021689676457003447,0.027773530890862617,0.6229690267201689,0.07171953765124046,0.0002197078648947979,0.008399048518927445,0.21895249811916453,0.010341143296134472,0.00011124418153703648
SBS10c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS10d,0.0,0.0,0.0,0.0,0.0012845084716085102,0.5835355428926409,0.41252066196063963,0.0011004852664503377,0.0,0.0,0.0,0.0015588014086606815
SBS11,0.0,0.0,0.0,0.0,0.09038538468788972,0.5858097215320117,0.08782171164349539,0.0,0.0,0.0,0.23598318213660321,0.0
