,A_global
3'Flank,0.0059649839788877826
3'UTR,0.07853026041009989
5'Flank,0.004609602232956101
5'UTR,0.023005621519157946
Intron,0.029750285133770128
Missense_Mutation,0.5579944697816173
Nonsense_Mutation,0.04364430667205776
Nonstop_Mutation,0.0005818612894857737
RNA,0.014325526392445513
Silent,0.22771898780772346
Splice_Site,0.013084632920161095
Translation_Start_Site,0.0007894618616372983
