,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS1,0.00014099478293515483,0.00010403922314513945,0.0012746797761576468,0.0004698511026642001,0.009209804068474827,0.4363680911372037,0.026188611376318366,2.0002037889534777e-05,0.005045990674987376,0.22550374007116505,0.00013764693528870985,3.721585915907061e-05
SBS2,0.000720519674631152,0.0004409358747194992,0.004234021865888403,0.04495822499371518,0.04570541042689045,0.22863447916772098,0.043035108143312586,0.00012015793755037766,0.0033841553176026068,0.27188859319031133,0.0022987415482906225,0.0017254368116730815
SBS3,0.00032812375964834915,0.00036797208845062475,0.0005372298804057115,0.00031617547961833867,0.0007252245797623578,0.0016927052746281135,0.0006887957819800242,0.00034986906251163806,0.00042055203540767655,0.0014619989743072353,0.0008190320044714603,0.0004494517387893572
SBS4,0.0004077328884810452,0.00040176392386046417,0.0008555370215779876,0.026385005923646575,0.00026221768657259465,0.2608875225900458,0.003694833431918578,0.0011165114380991342,0.0002853885198322513,0.0021061808018389776,0.013396309586784769,0.0011204261961964897
SBS5,0.0003309100691287245,0.0003640134739379969,0.0005018602008283753,0.0003025882605635387,0.0007134484750847691,0.0016244677387215458,0.000706523692796238,0.0003130349749596601,0.0004209033601622416,0.0013895024370188544,0.0007321439655968285,0.00042557277367605485
SBS6,0.006996781214473449,0.09371852676976594,0.005949467292678592,0.01759553668900387,0.03332078344199215,0.6336930374038832,0.047177171887034984,9.101657109497334e-05,0.01736802889164183,0.2855207922293778,0.004995169902056541,0.00045193581107078995
SBS7a,0.001566385960065092,0.018206012339697358,0.002446390301659733,0.007293877723435747,0.018645265999361,0.591493490751151,0.02932315489515287,8.84579576240017e-05,0.014987308693064274,0.37879814818615015,0.003518605244524771,0.0012045348153097743
SBS7b,0.0038187432486672715,0.04139474613664202,0.00623243489627466,0.028690007126029687,0.030884944419056426,0.5229743681335599,0.03673126341771048,0.0001429296751498779,0.012755447908174376,0.31108085253156514,0.011690651214815294,0.0008576230505746041
SBS7c,0.0003963105218783681,0.00043953016715788783,0.0005544944810033588,0.00037290183473824177,0.000897523078353629,0.0017760699033364372,0.0008693730610666213,0.00033850405931503454,0.0005153316468395337,0.0014811410053731159,0.0008068651418993533,0.00044021358959260836
SBS7d,0.0003882967892490899,0.00039983740593617834,0.000524120296885626,0.00032944612558301567,0.0007546168313067156,0.001743424320357787,0.0007767918521844031,0.00035351100280545,0.0004982803344537887,0.0014971291095343844,0.0008338319839949212,0.00041968940965369204
SBS8,0.0003433434184013687,0.00038515508822927635,0.0005881299033744137,0.00034993027307816157,0.0006859267498025733,0.0017551332896936192,0.0007752080523498602,0.0003827759819046841,0.000441668735999162,0.0014520521004449895,0.0009003379054905136,0.0005421728661654594
SBS9,0.000372210562229239,0.0004130182045114999,0.0005573918610599101,0.0003400526676436514,0.0008297218349125009,0.0017315940397013762,0.000794155492162099,0.00035111470759105517,0.00047388079386227684,0.0014584300408443543,0.0007828489827604783,0.00043196067253519415
