,A_shared
3'Flank,0.004681763127310407
3'UTR,0.0616363897819962
5'Flank,0.0036179587140895476
5'UTR,0.018056523023442433
Intron,0.02335023672473073
Missense_Mutation,0.43795556586789
Nonsense_Mutation,0.03425529832393061
Nonstop_Mutation,0.00045668802128647434
RNA,0.01124373870589489
Silent,0.17873080033073874
Splice_Site,0.010269793205953313
Translation_Start_Site,0.0006196283925175764
